,narrative
2734,editing memorandum re: injunction
2735,preparing book of authority re: motion to strike
2736,editing affidavit re: disqualifying expert
2737,drafting affidavit re: enforcing foreign judgment
2738,briefing book of authority re: refusals
2739,reviewing order re: injunction
2740,preparing book of authority re: motion to strike
2741,proofing compendium re: refusals
2742,drafting book of authority re: enforcing foreign judgment
2743,editing motion record re: summary judgment
2744,preparing analysis re: injunction
2745,briefing order re: injunction
2746,researching book of authority re: disqualifying expert
2747,preparing factum re: enforcing foreign judgment
2748,researching analysis re: refusals
2749,editing factum re: enforcing foreign judgment
2750,revising motion record re: disqualifying expert
2751,proofing order re: disqualifying expert
2752,drafting memorandum re: refusals
2753,analyzing order re: motion to strike
2754,editing order re: summary judgment
2755,preparing compendium re: refusals
2756,proofing factum re: summary judgment
2757,researching analysis re: refusals
2758,editing factum re: enforcing foreign judgment
2759,analyzing motion record re: motion to strike
2760,drafting analysis re: summary judgment
2761,editing affidavit re: refusals
2762,drafting book of authority re: motion to strike
2763,drafting order re: motion to strike
2764,revising memo re: motion to strike
2765,reviewing notice of motion re: summary judgment
2766,writing compendium re: motion to strike
2767,proofing analysis re: motion to strike
2768,analyzing compendium re: summary judgment
2769,revising factum re: injunction
2770,preparing affidavit re: injunction
2771,reviewing memo re: enforcing foreign judgment
2772,briefing memorandum re: disqualifying expert
2773,researching compendium re: refusals
2774,preparing order re: injunction
2775,editing memo re: enforcing foreign judgment
2776,proofing memorandum re: motion to strike
2777,researching memorandum re: refusals
2778,proofing book of authority re: refusals
2779,briefing factum re: disqualifying expert
2780,reviewing analysis re: summary judgment
2781,drafting factum re: refusals
2782,drafting affidavit re: injunction
2783,writing motion record re: summary judgment
2784,briefing order re: summary judgment
2785,drafting motion record re: disqualifying expert
2786,revising book of authority re: disqualifying expert
2787,researching book of authority re: motion to strike
2788,reviewing memorandum re: refusals
2789,researching notice of motion re: enforcing foreign judgment
2790,drafting compendium re: refusals
2791,revising analysis re: refusals
2792,reviewing analysis re: motion to strike
2793,proofing memorandum re: summary judgment
2794,writing analysis re: disqualifying expert
2795,editing notice of motion re: enforcing foreign judgment
2796,writing memo re: injunction
2797,writing notice of motion re: disqualifying expert
2798,proofing memo re: motion to strike
2799,revising affidavit re: summary judgment
2800,briefing motion record re: enforcing foreign judgment
2801,revising book of authority re: refusals
2802,briefing factum re: refusals
2803,writing factum re: enforcing foreign judgment
2804,researching motion record re: disqualifying expert
2805,preparing notice of motion re: summary judgment
2806,analyzing book of authority re: summary judgment
2807,editing analysis re: summary judgment
2808,analyzing affidavit re: summary judgment
2809,researching motion record re: injunction
2810,briefing analysis re: disqualifying expert
2811,revising memo re: motion to strike
2812,drafting order re: injunction
2813,proofing memorandum re: disqualifying expert
2814,briefing memorandum re: summary judgment
2815,proofing affidavit re: refusals
2816,editing compendium re: enforcing foreign judgment
2817,drafting memo re: disqualifying expert
2818,drafting analysis re: disqualifying expert
2819,preparing factum re: motion to strike
2820,proofing affidavit re: motion to strike
2821,revising compendium re: refusals
2822,preparing affidavit re: motion to strike
2823,revising motion record re: motion to strike
2824,analyzing book of authority re: refusals
2825,revising affidavit re: refusals
2826,researching analysis re: motion to strike
2827,revising book of authority re: injunction
2828,analyzing book of authority re: summary judgment
2829,proofing memo re: injunction
2830,writing book of authority re: enforcing foreign judgment
2831,briefing affidavit re: injunction
2832,researching factum re: summary judgment
2833,preparing motion record re: disqualifying expert
2834,proofing factum re: disqualifying expert
2835,preparing memorandum re: summary judgment
2836,analyzing analysis re: refusals
2837,proofing factum re: injunction
2838,researching affidavit re: refusals
2839,drafting notice of motion re: motion to strike
2840,briefing order re: motion to strike
2841,writing motion record re: summary judgment
2842,writing book of authority re: disqualifying expert
2843,proofing analysis re: motion to strike
2844,analyzing factum re: refusals
2845,drafting memorandum re: injunction
2846,analyzing book of authority re: disqualifying expert
2847,drafting affidavit re: injunction
2848,analyzing factum re: injunction
2849,preparing memorandum re: disqualifying expert
2850,briefing motion record re: enforcing foreign judgment
2851,drafting compendium re: refusals
2852,researching factum re: enforcing foreign judgment
2853,editing compendium re: summary judgment
2854,analyzing memo re: disqualifying expert
2855,analyzing affidavit re: motion to strike
2856,writing analysis re: motion to strike
2857,writing compendium re: injunction
2858,writing memo re: motion to strike
2859,drafting analysis re: disqualifying expert
2860,briefing memorandum re: summary judgment
2861,reviewing analysis re: disqualifying expert
2862,writing notice of motion re: motion to strike
2863,drafting analysis re: motion to strike
2864,writing motion record re: motion to strike
2865,preparing motion record re: refusals
2866,drafting order re: refusals
2867,reviewing factum re: disqualifying expert
2868,proofing order re: injunction
2869,analyzing factum re: motion to strike
2870,writing memo re: summary judgment
2871,drafting notice of motion re: injunction
2872,writing motion record re: disqualifying expert
2873,drafting book of authority re: refusals
2874,proofing book of authority re: enforcing foreign judgment
2875,analyzing factum re: summary judgment
2876,drafting affidavit re: motion to strike
2877,preparing analysis re: enforcing foreign judgment
2878,reviewing book of authority re: disqualifying expert
2879,analyzing memorandum re: refusals
2880,analyzing affidavit re: enforcing foreign judgment
2881,analyzing compendium re: refusals
2882,briefing book of authority re: refusals
2883,researching factum re: injunction
2884,reviewing notice of motion re: motion to strike
2885,preparing book of authority re: disqualifying expert
2886,editing order re: injunction
2887,preparing book of authority re: enforcing foreign judgment
2888,revising memorandum re: refusals
2889,preparing compendium re: injunction
2890,reviewing memo re: summary judgment
2891,briefing memorandum re: disqualifying expert
2892,preparing affidavit re: disqualifying expert
2893,drafting notice of motion re: injunction
2894,writing affidavit re: motion to strike
2895,reviewing book of authority re: disqualifying expert
2896,researching book of authority re: enforcing foreign judgment
2897,researching factum re: injunction
2898,writing memo re: refusals
2899,preparing factum re: summary judgment
2900,editing notice of motion re: injunction
2901,briefing book of authority re: enforcing foreign judgment
2902,proofing book of authority re: summary judgment
2903,researching motion record re: enforcing foreign judgment
2904,proofing order re: motion to strike
2905,drafting compendium re: refusals
2906,revising memorandum re: enforcing foreign judgment
2907,proofing motion record re: motion to strike
2908,reviewing compendium re: motion to strike
2909,proofing analysis re: motion to strike
2910,briefing notice of motion re: enforcing foreign judgment
2911,drafting notice of motion re: refusals
2912,reviewing compendium re: disqualifying expert
2913,analyzing memorandum re: enforcing foreign judgment
2914,writing compendium re: refusals
2915,preparing memo re: enforcing foreign judgment
2916,editing factum re: motion to strike
2917,reviewing motion record re: motion to strike
2918,preparing compendium re: motion to strike
2919,revising book of authority re: injunction
2920,proofing factum re: enforcing foreign judgment
2921,reviewing memorandum re: injunction
2922,reviewing factum re: injunction
2923,researching memorandum re: refusals
2924,editing notice of motion re: summary judgment
2925,drafting compendium re: injunction
2926,analyzing factum re: injunction
2927,editing motion record re: injunction
2928,drafting book of authority re: motion to strike
2929,drafting factum re: injunction
2930,writing memo re: injunction
2931,preparing motion record re: disqualifying expert
2932,analyzing memorandum re: enforcing foreign judgment
2933,writing notice of motion re: refusals
2934,proofing order re: refusals
2935,researching memo re: injunction
2936,revising compendium re: injunction
2937,drafting notice of motion re: injunction
2938,drafting memorandum re: injunction
2939,editing notice of motion re: disqualifying expert
2940,briefing analysis re: summary judgment
2941,editing factum re: injunction
2942,drafting affidavit re: summary judgment
2943,briefing notice of motion re: disqualifying expert
2944,writing factum re: injunction
2945,preparing memorandum re: enforcing foreign judgment
2946,researching memo re: disqualifying expert
2947,writing motion record re: injunction
2948,writing analysis re: injunction
2949,writing memorandum re: refusals
2950,writing compendium re: injunction
2951,researching analysis re: motion to strike
2952,analyzing notice of motion re: motion to strike
2953,reviewing affidavit re: disqualifying expert
2954,preparing memorandum re: enforcing foreign judgment
2955,revising factum re: disqualifying expert
2956,researching motion record re: disqualifying expert
2957,analyzing factum re: motion to strike
2958,revising order re: enforcing foreign judgment
2959,revising order re: motion to strike
2960,analyzing factum re: motion to strike
2961,analyzing compendium re: enforcing foreign judgment
2962,writing factum re: disqualifying expert
2963,reviewing order re: disqualifying expert
2964,researching memorandum re: enforcing foreign judgment
2965,reviewing order re: injunction
2966,editing memo re: injunction
2967,revising compendium re: disqualifying expert
2968,preparing order re: disqualifying expert
2969,writing affidavit re: summary judgment
2970,drafting notice of motion re: motion to strike
2971,researching memorandum re: enforcing foreign judgment
2972,briefing affidavit re: enforcing foreign judgment
2973,briefing notice of motion re: refusals
2974,researching affidavit re: injunction
2975,proofing memorandum re: injunction
2976,writing analysis re: summary judgment
2977,researching factum re: injunction
2978,proofing factum re: injunction
2979,preparing analysis re: motion to strike
2980,editing memorandum re: enforcing foreign judgment
2981,preparing memorandum re: disqualifying expert
2982,writing book of authority re: enforcing foreign judgment
2983,researching book of authority re: disqualifying expert
2984,reviewing memorandum re: enforcing foreign judgment
2985,analyzing memorandum re: summary judgment
2986,preparing analysis re: motion to strike
2987,preparing notice of motion re: disqualifying expert
2988,proofing compendium re: disqualifying expert
2989,revising motion record re: summary judgment
2990,analyzing motion record re: injunction
2991,briefing order re: disqualifying expert
2992,drafting analysis re: summary judgment
2993,analyzing memorandum re: enforcing foreign judgment
2994,researching compendium re: refusals
2995,drafting motion record re: summary judgment
2996,briefing order re: injunction
2997,researching motion record re: summary judgment
2998,preparing order re: motion to strike
2999,writing memorandum re: enforcing foreign judgment
3000,editing notice of motion re: summary judgment
3001,researching book of authority re: refusals
3002,proofing notice of motion re: refusals
3003,revising factum re: injunction
3004,briefing memo re: summary judgment
3005,revising motion record re: motion to strike
3006,reviewing memorandum re: enforcing foreign judgment
3007,revising book of authority re: enforcing foreign judgment
3008,proofing analysis re: enforcing foreign judgment
3009,preparing compendium re: injunction
3010,briefing analysis re: summary judgment
3011,preparing motion record re: motion to strike
3012,writing affidavit re: motion to strike
3013,drafting book of authority re: refusals
3014,drafting order re: disqualifying expert
3015,editing factum re: summary judgment
3016,proofing order re: disqualifying expert
3017,drafting memorandum re: injunction
3018,revising motion record re: summary judgment
3019,writing order re: enforcing foreign judgment
3020,editing memo re: disqualifying expert
3021,proofing affidavit re: disqualifying expert
3022,editing notice of motion re: refusals
3023,preparing affidavit re: motion to strike
3024,preparing analysis re: refusals
3025,editing order re: enforcing foreign judgment
3026,preparing affidavit re: enforcing foreign judgment
3027,analyzing order re: disqualifying expert
3028,preparing memo re: refusals
3029,revising compendium re: summary judgment
3030,proofing book of authority re: summary judgment
3031,researching factum re: disqualifying expert
3032,writing affidavit re: disqualifying expert
3033,revising memorandum re: summary judgment
3034,researching factum re: motion to strike
3035,drafting compendium re: injunction
3036,analyzing memorandum re: disqualifying expert
3037,drafting motion record re: summary judgment
3038,briefing factum re: refusals
3039,writing notice of motion re: refusals
3040,preparing book of authority re: motion to strike
3041,revising notice of motion re: summary judgment
3042,preparing book of authority re: enforcing foreign judgment
3043,drafting memo re: disqualifying expert
3044,researching memo re: motion to strike
3045,proofing analysis re: enforcing foreign judgment
3046,proofing analysis re: motion to strike
3047,editing compendium re: injunction
3048,revising memo re: injunction
3049,preparing factum re: refusals
3050,proofing memo re: summary judgment
3051,researching notice of motion re: refusals
3052,analyzing notice of motion re: enforcing foreign judgment
3053,preparing memo re: enforcing foreign judgment
3054,briefing memorandum re: disqualifying expert
3055,writing memorandum re: summary judgment
3056,editing compendium re: injunction
3057,writing motion record re: disqualifying expert
3058,proofing affidavit re: motion to strike
3059,researching memorandum re: summary judgment
3060,drafting compendium re: motion to strike
3061,briefing memorandum re: enforcing foreign judgment
3062,preparing affidavit re: summary judgment
3063,writing factum re: disqualifying expert
3064,revising compendium re: injunction
3065,reviewing memorandum re: summary judgment
3066,researching notice of motion re: enforcing foreign judgment
3067,analyzing notice of motion re: disqualifying expert
3068,reviewing notice of motion re: motion to strike
3069,preparing memorandum re: disqualifying expert
3070,reviewing order re: injunction
3071,reviewing memo re: refusals
3072,preparing motion record re: motion to strike
3073,proofing memo re: disqualifying expert
3074,proofing memo re: enforcing foreign judgment
3075,proofing factum re: motion to strike
3076,researching analysis re: refusals
3077,preparing compendium re: injunction
3078,briefing affidavit re: summary judgment
3079,revising book of authority re: refusals
3080,writing factum re: summary judgment
3081,researching memorandum re: motion to strike
3082,briefing notice of motion re: summary judgment
3083,drafting memo re: refusals
3084,preparing order re: summary judgment
3085,editing motion record re: disqualifying expert
3086,writing factum re: summary judgment
3087,reviewing notice of motion re: injunction
3088,revising book of authority re: motion to strike
3089,editing order re: disqualifying expert
3090,proofing memorandum re: motion to strike
3091,analyzing memorandum re: enforcing foreign judgment
3092,revising motion record re: injunction
3093,editing book of authority re: motion to strike
3094,researching motion record re: disqualifying expert
3095,preparing memo re: enforcing foreign judgment
3096,editing factum re: injunction
3097,reviewing affidavit re: disqualifying expert
3098,briefing motion record re: disqualifying expert
3099,revising analysis re: summary judgment
3100,drafting analysis re: disqualifying expert
3101,preparing order re: injunction
3102,analyzing order re: enforcing foreign judgment
3103,proofing factum re: injunction
3104,preparing book of authority re: refusals
3105,revising factum re: injunction
3106,reviewing motion record re: motion to strike
3107,drafting analysis re: disqualifying expert
3108,proofing memo re: refusals
3109,researching affidavit re: motion to strike
3110,writing order re: disqualifying expert
3111,researching memo re: disqualifying expert
3112,proofing motion record re: motion to strike
3113,writing memorandum re: summary judgment
3114,analyzing memo re: disqualifying expert
3115,briefing book of authority re: disqualifying expert
3116,reviewing memorandum re: enforcing foreign judgment
3117,editing factum re: refusals
3118,writing affidavit re: motion to strike
3119,writing book of authority re: summary judgment
3120,reviewing factum re: motion to strike
3121,drafting affidavit re: summary judgment
3122,drafting affidavit re: injunction
3123,analyzing memo re: motion to strike
3124,analyzing factum re: disqualifying expert
3125,reviewing memorandum re: injunction
3126,editing compendium re: summary judgment
3127,proofing notice of motion re: summary judgment
3128,editing compendium re: motion to strike
3129,drafting order re: summary judgment
3130,analyzing book of authority re: injunction
3131,analyzing order re: enforcing foreign judgment
3132,analyzing motion record re: motion to strike
3133,analyzing memorandum re: injunction
3134,drafting compendium re: summary judgment
3135,reviewing book of authority re: motion to strike
3136,analyzing affidavit re: injunction
3137,writing compendium re: disqualifying expert
3138,researching compendium re: motion to strike
3139,analyzing analysis re: enforcing foreign judgment
3140,analyzing factum re: injunction
3141,proofing affidavit re: disqualifying expert
3142,researching motion record re: disqualifying expert
3143,revising affidavit re: disqualifying expert
3144,drafting order re: enforcing foreign judgment
3145,preparing book of authority re: motion to strike
3146,revising motion record re: enforcing foreign judgment
3147,proofing factum re: refusals
3148,revising memo re: enforcing foreign judgment
3149,drafting compendium re: injunction
3150,writing notice of motion re: disqualifying expert
3151,revising notice of motion re: enforcing foreign judgment
3152,revising affidavit re: injunction
3153,analyzing motion record re: refusals
3154,researching memo re: summary judgment
3155,revising memo re: injunction
3156,writing analysis re: enforcing foreign judgment
3157,editing memorandum re: refusals
3158,researching compendium re: motion to strike
3159,writing memorandum re: disqualifying expert
3160,drafting book of authority re: motion to strike
3161,drafting affidavit re: disqualifying expert
3162,drafting memorandum re: injunction
3163,reviewing book of authority re: injunction
3164,editing book of authority re: refusals
3165,researching factum re: motion to strike
3166,briefing notice of motion re: injunction
3167,writing motion record re: summary judgment
3168,proofing motion record re: injunction
3169,writing order re: enforcing foreign judgment
3170,proofing factum re: enforcing foreign judgment
3171,researching factum re: refusals
3172,reviewing motion record re: motion to strike
3173,writing affidavit re: injunction
3174,briefing order re: enforcing foreign judgment
3175,researching order re: summary judgment
3176,editing notice of motion re: summary judgment
3177,preparing compendium re: disqualifying expert
3178,revising order re: enforcing foreign judgment
3179,reviewing compendium re: motion to strike
3180,reviewing affidavit re: injunction
3181,writing notice of motion re: summary judgment
3182,analyzing memorandum re: refusals
3183,briefing motion record re: summary judgment
3184,briefing order re: disqualifying expert
3185,reviewing book of authority re: injunction
3186,proofing analysis re: injunction
3187,reviewing compendium re: motion to strike
3188,briefing motion record re: refusals
3189,preparing notice of motion re: motion to strike
3190,revising memo re: refusals
3191,briefing notice of motion re: motion to strike
3192,reviewing book of authority re: refusals
3193,editing factum re: summary judgment
3194,drafting memorandum re: injunction
3195,revising book of authority re: refusals
3196,analyzing memo re: enforcing foreign judgment
3197,writing memorandum re: refusals
3198,writing compendium re: injunction
3199,drafting compendium re: refusals
3200,analyzing compendium re: refusals
3201,briefing motion record re: enforcing foreign judgment
3202,briefing memo re: injunction
3203,researching memorandum re: disqualifying expert
3204,preparing notice of motion re: summary judgment
3205,proofing order re: disqualifying expert
3206,researching compendium re: summary judgment
3207,analyzing motion record re: refusals
3208,reviewing compendium re: summary judgment
3209,researching factum re: summary judgment
3210,editing compendium re: injunction
3211,briefing order re: injunction
3212,briefing book of authority re: summary judgment
3213,writing factum re: refusals
3214,editing order re: refusals
3215,drafting affidavit re: injunction
3216,analyzing compendium re: injunction
3217,writing book of authority re: disqualifying expert
3218,researching factum re: injunction
3219,writing analysis re: summary judgment
3220,briefing order re: summary judgment
3221,drafting memo re: refusals
3222,drafting book of authority re: enforcing foreign judgment
3223,proofing factum re: enforcing foreign judgment
3224,analyzing memorandum re: injunction
3225,proofing order re: refusals
3226,revising notice of motion re: motion to strike
3227,editing analysis re: disqualifying expert
3228,researching analysis re: enforcing foreign judgment
3229,drafting book of authority re: injunction
3230,briefing affidavit re: summary judgment
3231,revising factum re: injunction
3232,researching analysis re: injunction
3233,proofing memorandum re: enforcing foreign judgment
3234,proofing compendium re: disqualifying expert
3235,preparing book of authority re: summary judgment
3236,editing memorandum re: disqualifying expert
3237,analyzing book of authority re: refusals
3238,reviewing notice of motion re: enforcing foreign judgment
3239,writing order re: enforcing foreign judgment
3240,briefing affidavit re: injunction
3241,preparing compendium re: disqualifying expert
3242,revising factum re: motion to strike
3243,preparing affidavit re: summary judgment
3244,analyzing affidavit re: enforcing foreign judgment
3245,drafting order re: motion to strike
3246,reviewing analysis re: refusals
3247,analyzing motion record re: injunction
3248,briefing motion record re: injunction
3249,proofing affidavit re: enforcing foreign judgment
3250,editing memo re: disqualifying expert
3251,revising affidavit re: motion to strike
3252,preparing factum re: summary judgment
3253,reviewing notice of motion re: enforcing foreign judgment
3254,briefing analysis re: motion to strike
3255,researching motion record re: motion to strike
3256,proofing analysis re: enforcing foreign judgment
3257,reviewing memorandum re: injunction
3258,proofing analysis re: injunction
3259,writing factum re: enforcing foreign judgment
3260,drafting affidavit re: refusals
3261,briefing motion record re: motion to strike
3262,researching order re: injunction
3263,preparing analysis re: motion to strike
3264,analyzing affidavit re: motion to strike
3265,drafting motion record re: enforcing foreign judgment
3266,revising memo re: motion to strike
3267,researching analysis re: refusals
3268,proofing memo re: summary judgment
3269,researching compendium re: summary judgment
3270,revising affidavit re: motion to strike
3271,preparing factum re: enforcing foreign judgment
3272,briefing affidavit re: motion to strike
3273,briefing book of authority re: summary judgment
3274,reviewing memo re: refusals
3275,revising memo re: enforcing foreign judgment
3276,revising compendium re: refusals
3277,drafting affidavit re: disqualifying expert
3278,reviewing compendium re: injunction
3279,writing motion record re: disqualifying expert
3280,researching factum re: summary judgment
3281,analyzing memorandum re: refusals
3282,revising memo re: motion to strike
3283,editing affidavit re: injunction
3284,analyzing notice of motion re: disqualifying expert
3285,writing analysis re: disqualifying expert
3286,writing factum re: motion to strike
3287,researching compendium re: injunction
3288,analyzing notice of motion re: refusals
3289,reviewing motion record re: enforcing foreign judgment
3290,proofing memorandum re: summary judgment
3291,writing compendium re: refusals
3292,writing memo re: refusals
3293,revising motion record re: disqualifying expert
3294,reviewing compendium re: refusals
3295,editing memo re: disqualifying expert
3296,proofing affidavit re: motion to strike
3297,preparing motion record re: summary judgment
3298,editing order re: refusals
3299,editing analysis re: injunction
3300,analyzing order re: enforcing foreign judgment
3301,researching memo re: enforcing foreign judgment
3302,analyzing order re: enforcing foreign judgment
3303,reviewing memo re: disqualifying expert
3304,reviewing affidavit re: injunction
3305,drafting affidavit re: motion to strike
3306,writing affidavit re: summary judgment
3307,editing affidavit re: injunction
3308,drafting order re: enforcing foreign judgment
3309,analyzing factum re: summary judgment
3310,writing motion record re: refusals
3311,editing compendium re: motion to strike
3312,analyzing memorandum re: summary judgment
3313,drafting book of authority re: summary judgment
3314,briefing analysis re: injunction
3315,analyzing analysis re: enforcing foreign judgment
3316,preparing factum re: enforcing foreign judgment
3317,researching order re: enforcing foreign judgment
3318,briefing order re: disqualifying expert
3319,briefing motion record re: motion to strike
3320,briefing motion record re: motion to strike
3321,briefing book of authority re: disqualifying expert
3322,preparing order re: motion to strike
3323,proofing order re: summary judgment
3324,analyzing memo re: injunction
3325,revising notice of motion re: injunction
3326,revising notice of motion re: refusals
3327,proofing factum re: disqualifying expert
3328,reviewing notice of motion re: motion to strike
3329,editing compendium re: injunction
3330,proofing affidavit re: motion to strike
3331,revising analysis re: refusals
3332,proofing book of authority re: injunction
3333,drafting memorandum re: enforcing foreign judgment
3334,researching factum re: enforcing foreign judgment
3335,revising factum re: motion to strike
3336,editing memorandum re: disqualifying expert
3337,revising motion record re: motion to strike
3338,researching memo re: disqualifying expert
3339,revising affidavit re: enforcing foreign judgment
3340,briefing factum re: injunction
3341,preparing notice of motion re: injunction
3342,analyzing order re: enforcing foreign judgment
3343,drafting order re: refusals
3344,reviewing affidavit re: disqualifying expert
3345,writing memo re: injunction
3346,reviewing memorandum re: refusals
3347,researching book of authority re: disqualifying expert
3348,editing memo re: disqualifying expert
3349,briefing compendium re: injunction
3350,editing factum re: motion to strike
3351,writing affidavit re: refusals
3352,writing compendium re: enforcing foreign judgment
3353,writing motion record re: enforcing foreign judgment
3354,proofing notice of motion re: motion to strike
3355,revising memorandum re: refusals
3356,reviewing notice of motion re: enforcing foreign judgment
3357,preparing book of authority re: motion to strike
3358,analyzing memorandum re: summary judgment
3359,drafting compendium re: enforcing foreign judgment
3360,editing order re: disqualifying expert
3361,editing memo re: summary judgment
3362,reviewing analysis re: injunction
3363,writing compendium re: injunction
3364,writing order re: motion to strike
3365,analyzing analysis re: motion to strike
3366,briefing motion record re: summary judgment
3367,writing motion record re: disqualifying expert
3368,researching book of authority re: enforcing foreign judgment
3369,preparing factum re: summary judgment
3370,briefing memo re: enforcing foreign judgment
3371,researching motion record re: injunction
3372,proofing memo re: disqualifying expert
3373,proofing memo re: enforcing foreign judgment
3374,reviewing notice of motion re: disqualifying expert
3375,revising order re: summary judgment
3376,reviewing motion record re: injunction
3377,editing compendium re: enforcing foreign judgment
3378,analyzing factum re: motion to strike
3379,revising book of authority re: refusals
3380,researching analysis re: motion to strike
3381,preparing memo re: summary judgment
3382,proofing analysis re: summary judgment
3383,researching memo re: disqualifying expert
3384,analyzing notice of motion re: injunction
3385,writing compendium re: disqualifying expert
3386,preparing factum re: refusals
3387,analyzing analysis re: motion to strike
3388,writing compendium re: injunction
3389,drafting notice of motion re: summary judgment
3390,writing analysis re: summary judgment
3391,drafting motion record re: motion to strike
3392,preparing notice of motion re: summary judgment
3393,preparing memorandum re: enforcing foreign judgment
3394,writing motion record re: summary judgment
3395,revising compendium re: summary judgment
3396,briefing affidavit re: injunction
3397,editing notice of motion re: injunction
3398,briefing memo re: injunction
3399,analyzing book of authority re: injunction
3400,researching analysis re: enforcing foreign judgment
3401,preparing factum re: enforcing foreign judgment
3402,proofing memo re: enforcing foreign judgment
3403,editing order re: enforcing foreign judgment
3404,analyzing memorandum re: injunction
3405,drafting notice of motion re: summary judgment
3406,analyzing compendium re: summary judgment
3407,writing book of authority re: refusals
3408,analyzing factum re: motion to strike
3409,drafting notice of motion re: summary judgment
3410,proofing affidavit re: disqualifying expert
3411,reviewing affidavit re: injunction
3412,revising motion record re: summary judgment
3413,preparing memo re: injunction
3414,preparing memo re: enforcing foreign judgment
3415,analyzing book of authority re: motion to strike
3416,revising analysis re: refusals
3417,briefing order re: refusals
3418,proofing memorandum re: summary judgment
3419,preparing motion record re: summary judgment
3420,reviewing order re: refusals
3421,editing analysis re: injunction
3422,revising book of authority re: enforcing foreign judgment
3423,reviewing book of authority re: refusals
3424,researching motion record re: motion to strike
3425,reviewing memorandum re: disqualifying expert
3426,analyzing factum re: disqualifying expert
3427,briefing motion record re: refusals
3428,analyzing memorandum re: enforcing foreign judgment
3429,drafting order re: summary judgment
3430,revising affidavit re: disqualifying expert
3431,preparing memo re: enforcing foreign judgment
3432,editing analysis re: refusals
3433,revising compendium re: injunction
3434,editing order re: refusals
3435,drafting book of authority re: summary judgment
3436,preparing affidavit re: injunction
3437,researching factum re: refusals
3438,drafting motion record re: enforcing foreign judgment
3439,drafting analysis re: injunction
3440,proofing memorandum re: refusals
3441,analyzing factum re: injunction
3442,revising memo re: refusals
3443,preparing memorandum re: summary judgment
3444,briefing memorandum re: motion to strike
3445,reviewing order re: disqualifying expert
3446,revising memorandum re: motion to strike
3447,researching compendium re: enforcing foreign judgment
3448,revising book of authority re: enforcing foreign judgment
3449,revising motion record re: disqualifying expert
3450,reviewing compendium re: motion to strike
3451,researching book of authority re: disqualifying expert
3452,drafting memorandum re: disqualifying expert
3453,briefing order re: disqualifying expert
3454,reviewing notice of motion re: enforcing foreign judgment
3455,drafting analysis re: summary judgment
3456,preparing order re: enforcing foreign judgment
3457,writing compendium re: motion to strike
3458,revising memorandum re: summary judgment
3459,researching book of authority re: enforcing foreign judgment
3460,proofing factum re: injunction
3461,researching compendium re: motion to strike
3462,analyzing affidavit re: enforcing foreign judgment
3463,researching notice of motion re: disqualifying expert
3464,preparing memo re: injunction
3465,writing memo re: refusals
3466,editing compendium re: motion to strike
3467,editing affidavit re: disqualifying expert
3468,drafting order re: enforcing foreign judgment
3469,proofing notice of motion re: motion to strike
3470,researching memo re: enforcing foreign judgment
3471,proofing book of authority re: refusals
3472,writing order re: motion to strike
3473,preparing factum re: enforcing foreign judgment
3474,researching factum re: summary judgment
3475,writing book of authority re: motion to strike
3476,revising memo re: motion to strike
3477,briefing order re: summary judgment
3478,revising memorandum re: motion to strike
3479,analyzing compendium re: enforcing foreign judgment
3480,briefing affidavit re: injunction
3481,editing analysis re: disqualifying expert
3482,revising memorandum re: enforcing foreign judgment
3483,briefing memorandum re: injunction
3484,drafting motion record re: injunction
3485,reviewing motion record re: disqualifying expert
3486,writing compendium re: motion to strike
3487,preparing memorandum re: motion to strike
3488,editing notice of motion re: summary judgment
3489,writing affidavit re: refusals
3490,proofing analysis re: motion to strike
3491,revising motion record re: disqualifying expert
3492,researching analysis re: enforcing foreign judgment
3493,proofing order re: injunction
3494,analyzing memo re: injunction
3495,analyzing analysis re: summary judgment
3496,proofing order re: enforcing foreign judgment
3497,briefing compendium re: motion to strike
3498,writing factum re: refusals
3499,editing order re: enforcing foreign judgment
3500,briefing factum re: motion to strike
3501,revising book of authority re: disqualifying expert
3502,preparing memorandum re: enforcing foreign judgment
3503,proofing notice of motion re: summary judgment
3504,writing motion record re: disqualifying expert
3505,writing affidavit re: enforcing foreign judgment
3506,editing motion record re: refusals
3507,analyzing memorandum re: injunction
3508,analyzing order re: motion to strike
3509,editing memo re: enforcing foreign judgment
3510,drafting notice of motion re: summary judgment
3511,analyzing memorandum re: injunction
3512,analyzing book of authority re: motion to strike
3513,researching book of authority re: summary judgment
3514,briefing notice of motion re: injunction
3515,proofing compendium re: injunction
3516,analyzing analysis re: injunction
3517,researching compendium re: refusals
3518,drafting memo re: refusals
3519,briefing order re: enforcing foreign judgment
3520,editing factum re: enforcing foreign judgment
3521,researching memo re: motion to strike
3522,preparing order re: refusals
3523,editing factum re: refusals
3524,writing factum re: enforcing foreign judgment
3525,editing motion record re: enforcing foreign judgment
3526,proofing affidavit re: summary judgment
3527,editing book of authority re: summary judgment
3528,analyzing book of authority re: motion to strike
3529,researching factum re: motion to strike
3530,drafting memo re: summary judgment
3531,revising book of authority re: motion to strike
3532,writing notice of motion re: injunction
3533,editing notice of motion re: summary judgment
3534,preparing compendium re: motion to strike
3535,revising memorandum re: injunction
3536,drafting factum re: refusals
3537,editing memo re: disqualifying expert
3538,revising memo re: motion to strike
3539,preparing affidavit re: disqualifying expert
